电影名,年份,上映时间,类型,时长,评分,语言,导演,作者,宣传语,简介
The Shawshank Redemption,(1994),03/10/1995 (TW),"Drama,Crime",2h 22m,87,"$25,000,000.00",Frank Darabont,Stephen King,Fear can hold you prisoner. Hope can set you free.,"Imprisoned in the 1940s for the double murder of his wife and her lover, upstanding banker Andy Dufresne begins a new life at the Shawshank prison, where he puts his accounting skills to work for an amoral warden. During his long stretch in prison, Dufresne comes to be admired by the other inmates -- including an older prisoner named Red -- for his integrity and unquenchable sense of hope."
The Godfather,(1972),03/24/1972 (US),"Drama,Crime",2h 55m,87,"$6,000,000.00",Francis Ford Coppola,Mario Puzo,An offer you can't refuse.,"Spanning the years 1945 to 1955, a chronicle of the fictional Italian-American Corleone crime family. When organized crime family patriarch, Vito Corleone barely survives an attempt on his life, his youngest son, Michael steps in to take care of the would-be killers, launching a campaign of bloody revenge."
The Godfather Part II,(1974),12/20/1974 (US),"Drama,Crime",3h 22m,86,"$13,000,000.00",Francis Ford Coppola,Mario Puzo,The rise and fall of the Corleone empire.,"In the continuing saga of the Corleone crime family, a young Vito Corleone grows up in Sicily and in 1910s New York. In the 1950s, Michael Corleone attempts to expand the family business into Las Vegas, Hollywood and Cuba."
Schindler's List,(1993),03/12/1994 (TW),"Drama,History,War",3h 15m,86,"$22,000,000.00",Steven Spielberg,Thomas Keneally,"Whoever saves one life, saves the world entire.",The true story of how businessman Oskar Schindler saved over a thousand Jewish lives from the Nazis while they worked as slaves in his factory during World War II.
12 Angry Men,(1957),04/10/1957 (US),Drama,1h 37m,86,"$397,751.00",Reginald Rose,Sidney Lumet,It explodes like 12 sticks of dynamite!,"The defense and the prosecution have rested and the jury is filing into the jury room to decide if a young Spanish-American is guilty or innocent of murdering his father. What begins as an open and shut case soon becomes a mini-drama of each of the jurors' prejudices and preconceptions about the trial, the accused, and each other."
Selena Gomez: My Mind & Me,(2022),11/04/2022 (TW),"Documentary,Music",1h 35m,85,-,Alek Keshishian,Paul Marchand,"Every breath, a breakthrough.","After years in the limelight, Selena Gomez achieves unimaginable stardom. But just as she reaches a new peak, an unexpected turn pulls her into darkness. This uniquely raw and intimate documentary spans her six-year journey into a new light."
Spirited Away,(2001),12/28/2001 (TW),"Animation,Family,Fantasy",2h 5m,85,Japanese,Hayao Miyazaki,,Beyond the tunnel was a mysterious town.,"A young girl, Chihiro, becomes trapped in a strange new world of spirits. When her parents undergo a mysterious transformation, she must call upon the courage she never knew she had to free her family."
The Dark Knight,(2008),07/17/2008 (TW),"Action,Crime,Thriller",2h 32m,85,"$185,000,000.00",Christopher Nolan,Bob Kane,Welcome to a world without rules.,"Batman raises the stakes in his war on crime. With the help of Lt. Jim Gordon and District Attorney Harvey Dent, Batman sets out to dismantle the remaining criminal organizations that plague the streets. The partnership proves to be effective, but they soon find themselves prey to a reign of chaos unleashed by a rising criminal mastermind known to the terrified citizens of Gotham as the Joker."
Dilwale Dulhania Le Jayenge,(1995),10/20/1995 (IN),"Comedy,Drama,Romance",3h 10m,85,Hindi,Aditya Chopra,,"Come… Fall In love, All Over Again…","Raj is a rich, carefree, happy-go-lucky second generation NRI. Simran is the daughter of Chaudhary Baldev Singh, who in spite of being an NRI is very strict about adherence to Indian values. Simran has left for India to be married to her childhood fiancé. Raj leaves for India with a mission at his hands, to claim his lady love under the noses of her whole family. Thus begins a saga."
The Green Mile,(1999),03/11/2000 (TW),"Fantasy,Drama,Crime",3h 9m,85,"$60,000,000.00",Frank Darabont,Stephen King,Paul Edgecomb didn't believe in miracles. Until the day he met one.,"A supernatural tale set on death row in a Southern prison, where gentle giant John Coffey possesses the mysterious power to heal people's ailments. When the cell block's head guard, Paul Edgecomb, recognizes Coffey's miraculous gift, he tries desperately to help stave off the condemned man's execution."
